dl, db
0.129793 , 0.128119
0.129015 , 0.003818
0.129057 , -0.004184
0.128751 , -0.129333
0.152856 , -0.137323
0.15251 , -0.262468
0.203441 , -0.270023
0.203074 , -0.395159
0.077975 , -0.394467
0.05173 , -0.394573
-0.073362 , -0.3939
-0.08127 , -0.393839
-0.205853 , -0.394041
-0.205467 , -0.268965
-0.256883 , -0.260573
-0.256529 , -0.135493
-0.280629 , -0.127517
-0.279804 , -0.003287
-0.279846 , 0.004711
-0.279549 , 0.129816
-0.255534 , 0.137845
-0.254777 , 0.262102
-0.203946 , 0.270603
-0.203222 , 0.394878
-0.078171 , 0.394333
-0.070264 , 0.394279
0.054305 , 0.394584
0.08104 , 0.39385
0.205616 , 0.394133
0.205396 , 0.268937
0.154063 , 0.261319
0.153811 , 0.136141
0.129793 , 0.128119
